sample	source	bam_path
BTx643	NEW	/lustre/work/jyanglab/subhash/NEW/picard/BTx643/BTx643_picard_dedup.bam
BTx645	NEW	/lustre/work/jyanglab/subhash/NEW/picard/BTx645/BTx645_picard_dedup.bam
PI152651	SAP	/lustre/work/jyanglab/subhash/SAP/picard/dedup_trimmed/PI152651_picard_dedup.bam
PI153844	NEW	/lustre/work/jyanglab/subhash/NEW/picard/PI153844/PI153844_picard_dedup.bam
PI153846	NEW	/lustre/work/jyanglab/subhash/NEW/picard/PI153846/PI153846_picard_dedup.bam
PI153852	NEW	/lustre/work/jyanglab/subhash/NEW/picard/PI153852/PI153852_picard_dedup.bam
PI17548	NEW	/lustre/work/jyanglab/subhash/NEW/picard/PI17548/PI17548_picard_dedup.bam
PI17548	SAP	/lustre/work/jyanglab/subhash/SAP/picard/dedup_trimmed/PI17548_picard_dedup.bam
PI22326	NEW	/lustre/work/jyanglab/subhash/NEW/picard/PI22326/PI22326_picard_dedup.bam
PI24969	SAP	/lustre/work/jyanglab/subhash/SAP/picard/dedup_trimmed/PI24969_picard_dedup.bam
PI276837	SAP	/lustre/work/jyanglab/subhash/SAP/picard/dedup_trimmed/PI276837_picard_dedup.bam
PI329435	SAP	/lustre/work/jyanglab/subhash/SAP/picard/dedup_trimmed/PI329435_picard_dedup.bam
PI329440	SAP	/lustre/work/jyanglab/subhash/SAP/picard/dedup_trimmed/PI329440_picard_dedup.bam
PI34911	NEW	/lustre/work/jyanglab/subhash/NEW/picard/PI34911/PI34911_picard_dedup.bam
PI34911	SAP	/lustre/work/jyanglab/subhash/SAP/picard/dedup_trimmed/PI34911_picard_dedup.bam
PI35038	SAP	/lustre/work/jyanglab/subhash/SAP/picard/dedup_trimmed/PI35038_picard_dedup.bam
PI48770	NEW	/lustre/work/jyanglab/subhash/NEW/picard/PI48770/PI48770_picard_dedup.bam
PI48770	SAP	/lustre/work/jyanglab/subhash/SAP/picard/dedup_trimmed/PI48770_picard_dedup.bam
PI533745	NEW	/lustre/work/jyanglab/subhash/NEW/picard/PI533745/PI533745_picard_dedup.bam
PI533746	NEW	/lustre/work/jyanglab/subhash/NEW/picard/PI533746/PI533746_picard_dedup.bam
PI533747	NEW	/lustre/work/jyanglab/subhash/NEW/picard/PI533747/PI533747_picard_dedup.bam
PI533749	NEW	/lustre/work/jyanglab/subhash/NEW/picard/PI533749/PI533749_picard_dedup.bam
PI533750	NEW	/lustre/work/jyanglab/subhash/NEW/picard/PI533750/PI533750_picard_dedup.bam
PI533750	SAP	/lustre/work/jyanglab/subhash/SAP/picard/dedup_trimmed/PI533750_picard_dedup.bam
PI533751	NEW	/lustre/work/jyanglab/subhash/NEW/picard/PI533751/PI533751_picard_dedup.bam
PI533752	SAP	/lustre/work/jyanglab/subhash/SAP/picard/dedup_trimmed/PI533752_picard_dedup.bam
