line	RNA	WGS	BestMatch	Score	PL_ratio	N_sites	N_match	Discordance	Concordance
"DCv2	BTx645	BTx645	1.842068e+01	1.165893e+00	670	668"	DCv2	BTx645	BTx645	18.42068	1.165893	670	668	0.00298507462686567	0.997014925373134
"DCv2	PI152651	PI152651	1.317079e+03	7.688286e-01	675	598"	DCv2	PI152651	PI152651	1317.079	0.7688286	675	598	0.114074074074074	0.885925925925926
"DCv2	PI153844	PI153844	1.059189e+03	1.324237e+00	653	593"	DCv2	PI153844	PI153844	1059.189	1.324237	653	593	0.0918836140888208	0.908116385911179
"DCv2	PI153846	PI153846	9.210340e+00	1.169225e+00	668	667"	DCv2	PI153846	PI153846	9.21034	1.169225	668	667	0.00149700598802395	0.998502994011976
"DCv2	PI22326	PI22326	1.326289e+03	8.852073e-01	664	588"	DCv2	PI22326	PI22326	1326.289	0.8852073	664	588	0.114457831325301	0.885542168674699
"DCv2	PI24969	PI24969	1.169713e+03	7.760625e-01	677	609"	DCv2	PI24969	PI24969	1169.713	0.7760625	677	609	0.100443131462334	0.899556868537666
"DCv2	PI276837	PI276837	2.910468e+03	7.039626e-01	677	514"	DCv2	PI276837	PI276837	2910.468	0.7039626	677	514	0.240768094534712	0.759231905465288
"DCv2	PI34911	PI34911	1.105241e+03	8.270034e-01	659	595"	DCv2	PI34911	PI34911	1105.241	0.8270034	659	595	0.0971168437025797	0.90288315629742
"DCv2	PI48770	PI48770	4.982794e+03	5.098171e-01	659	385"	DCv2	PI48770	PI48770	4982.794	0.5098171	659	385	0.415781487101669	0.584218512898331
"DCv2	PI533745	PI533745	7.091962e+02	7.348517e-01	479	440"	DCv2	PI533745	PI533745	709.1962	0.7348517	479	440	0.081419624217119	0.918580375782881
"DCv2	PI533746	PI533746	1.482865e+03	9.360452e-01	660	578"	DCv2	PI533746	PI533746	1482.865	0.9360452	660	578	0.124242424242424	0.875757575757576
"DCv2	PI533747	PI533747	8.197203e+02	8.866263e-01	596	549"	DCv2	PI533747	PI533747	819.7203	0.8866263	596	549	0.0788590604026846	0.921140939597315
"DCv2	PI533749	PI533749	5.341997e+02	1.164530e+00	534	502"	DCv2	PI533749	PI533749	534.1997	1.16453	534	502	0.0599250936329588	0.940074906367041
"DCv2	PI533750	PI533750	4.080181e+03	6.357653e-01	672	446"	DCv2	PI533750	PI533750	4080.181	0.6357653	672	446	0.336309523809524	0.663690476190476
"DCv2	PI533751	PI533751	1.049979e+03	1.047250e+00	667	605"	DCv2	PI533751	PI533751	1049.979	1.04725	667	605	0.0929535232383808	0.907046476761619
"DCv2	PI533752	PI533752	1.151293e+03	9.393704e-01	677	612"	DCv2	PI533752	PI533752	1151.293	0.9393704	677	612	0.0960118168389956	0.903988183161004
"DCv2	PI533753	PI533753	5.802514e+02	1.067594e+00	592	559"	DCv2	PI533753	PI533753	580.2514	1.067594	592	559	0.0557432432432433	0.944256756756757
"DCv2	PI533754	PI533754	7.091962e+02	8.807276e-01	676	631"	DCv2	PI533754	PI533754	709.1962	0.8807276	676	631	0.0665680473372781	0.933431952662722
"DCv2	PI533755	PI533755	3.453878e+03	6.660857e-01	676	485"	DCv2	PI533755	PI533755	3453.878	0.6660857	676	485	0.282544378698225	0.717455621301775
"DCv2	PI533756	PI533756	4.052550e+02	9.449644e-01	670	645"	DCv2	PI533756	PI533756	405.255	0.9449644	670	645	0.0373134328358209	0.962686567164179
"DCv2	PI533757	PI533757	1.132872e+03	9.125034e-01	677	610"	DCv2	PI533757	PI533757	1132.872	0.9125034	677	610	0.0989660265878877	0.901033973412112
"DCv2	PI533758	PI533758	1.399972e+03	9.226883e-01	677	600"	DCv2	PI533758	PI533758	1399.972	0.9226883	677	600	0.113737075332349	0.886262924667651
"DCv2	PI533759	PI533759	8.197203e+02	1.023386e+00	677	629"	DCv2	PI533759	PI533759	819.7203	1.023386	677	629	0.0709010339734121	0.929098966026588
"DCv2	PI533760	PI533760	1.040768e+03	8.849180e-01	674	616"	DCv2	PI533760	PI533760	1040.768	0.884918	674	616	0.086053412462908	0.913946587537092
"DCv2	PI533761	PI533761	1.510496e+03	8.553972e-01	676	590"	DCv2	PI533761	PI533761	1510.496	0.8553972	676	590	0.127218934911243	0.872781065088758
"DCv2	PI533762	PI533762	9.578754e+02	8.399945e-01	669	614"	DCv2	PI533762	PI533762	957.8754	0.8399945	669	614	0.0822122571001495	0.91778774289985
"DCv2	PI533763	PI533763	5.268315e+03	8.716535e-01	673	382"	DCv2	PI533763	PI533763	5268.315	0.8716535	673	382	0.432392273402675	0.567607726597325
"DCv2	PI533764	PI533764	7.920893e+02	1.395310e+00	421	378"	DCv2	PI533764	PI533764	792.0893	1.39531	421	378	0.102137767220903	0.897862232779097
"DCv2	PI533765	PI533765	6.447238e+02	1.251966e+00	471	436"	DCv2	PI533765	PI533765	644.7238	1.251966	471	436	0.0743099787685775	0.925690021231422
"DCv2	PI533766	PI533766	7.828789e+02	1.092763e+00	676	628"	DCv2	PI533766	PI533766	782.8789	1.092763	676	628	0.0710059171597633	0.928994082840237
"DCv2	PI533769	PI533769	6.539342e+02	8.956117e-01	677	639"	DCv2	PI533769	PI533769	653.9342	0.8956117	677	639	0.0561299852289513	0.943870014771049
"DCv2	PI533770	PI533770	1.123662e+03	1.046918e+00	672	603"	DCv2	PI533770	PI533770	1123.662	1.046918	672	603	0.102678571428571	0.897321428571429
"DCv2	PI533771	PI533771	9.486651e+02	1.057185e+00	668	613"	DCv2	PI533771	PI533771	948.6651	1.057185	668	613	0.0823353293413174	0.917664670658683
"DCv2	PI533772	PI533772	2.514423e+03	7.827391e-01	660	520"	DCv2	PI533772	PI533772	2514.423	0.7827391	660	520	0.212121212121212	0.787878787878788
"DCv2	PI533774	PI533774	1.363130e+03	1.087499e+00	666	590"	DCv2	PI533774	PI533774	1363.13	1.087499	666	590	0.114114114114114	0.885885885885886
"DCv2	PI533775	PI533775	4.301229e+03	7.903401e-01	644	409"	DCv2	PI533775	PI533775	4301.229	0.7903401	644	409	0.364906832298137	0.635093167701863
"DCv2	PI533776	PI533776	6.631445e+02	1.223209e+00	677	640"	DCv2	PI533776	PI533776	663.1445	1.223209	677	640	0.0546528803545052	0.945347119645495
"DCv2	PI533777	PI533777	7.368272e+02	8.378175e-01	572	531"	DCv2	PI533777	PI533777	736.8272	0.8378175	572	531	0.0716783216783217	0.928321678321678
"DCv2	PI533778	PI533778	6.999859e+02	1.143465e+00	671	630"	DCv2	PI533778	PI533778	699.9859	1.143465	671	630	0.0611028315946349	0.938897168405365
"DCv2	PI533779	PI533779	5.130160e+03	5.997087e-01	625	345"	DCv2	PI533779	PI533779	5130.16	0.5997087	625	345	0.448	0.552
"DCv2	PI533780	PI533780	4.070970e+03	8.351920e-01	667	439"	DCv2	PI533780	PI533780	4070.97	0.835192	667	439	0.341829085457271	0.658170914542729
"DCv2	PI533781	PI533781	3.159147e+03	9.995905e-01	666	490"	DCv2	PI533781	PI533781	3159.147	0.9995905	666	490	0.264264264264264	0.735735735735736
"DCv2	PI533783	PI533783	1.188134e+03	1.187268e+00	666	594"	DCv2	PI533783	PI533783	1188.134	1.187268	666	594	0.108108108108108	0.891891891891892
"DCv2	PI533784	PI533784	9.947168e+02	1.166247e+00	665	610"	DCv2	PI533784	PI533784	994.7168	1.166247	665	610	0.0827067669172932	0.917293233082707
"DCv2	PI533785	PI533785	6.447238e+02	1.176092e+00	676	633"	DCv2	PI533785	PI533785	644.7238	1.176092	676	633	0.0636094674556213	0.936390532544379
"DCv2	PI533786	PI533786	1.077610e+03	1.167560e+00	671	608"	DCv2	PI533786	PI533786	1077.61	1.16756	671	608	0.0938897168405365	0.906110283159463
"DCv2	PI533787	PI533787	4.365701e+03	6.656949e-01	652	411"	DCv2	PI533787	PI533787	4365.701	0.6656949	652	411	0.369631901840491	0.630368098159509
"DCv2	PI533788	PI533788	4.982794e+03	6.164986e-01	677	402"	DCv2	PI533788	PI533788	4982.794	0.6164986	677	402	0.406203840472674	0.593796159527327
"DCv2	PI533789	PI533789	8.934030e+02	8.801558e-01	677	624"	DCv2	PI533789	PI533789	893.403	0.8801558	677	624	0.0782865583456425	0.921713441654357
"DCv2	PI533790	PI533790	1.197344e+03	1.058694e+00	670	603"	DCv2	PI533790	PI533790	1197.344	1.058694	670	603	0.1	0.9
"DCv2	PI533791	PI533791	8.105100e+02	1.106174e+00	669	616"	DCv2	PI533791	PI533791	810.51	1.106174	669	616	0.0792227204783259	0.920777279521674
"DCv2	PI533792	PI533792	8.657720e+02	1.113535e+00	676	627"	DCv2	PI533792	PI533792	865.772	1.113535	676	627	0.0724852071005917	0.927514792899408
"DCv2	PI533793	PI533793	1.096031e+03	1.020196e+00	672	608"	DCv2	PI533793	PI533793	1096.031	1.020196	672	608	0.0952380952380952	0.904761904761905
"DCv2	PI533794	PI533794	8.197203e+02	9.148930e-01	677	629"	DCv2	PI533794	PI533794	819.7203	0.914893	677	629	0.0709010339734121	0.929098966026588
"DCv2	PI533795	PI533795	1.510496e+03	1.176223e+00	668	581"	DCv2	PI533795	PI533795	1510.496	1.176223	668	581	0.130239520958084	0.869760479041916
"DCv2	PI533797	PI533797	1.261817e+03	8.618870e-01	672	600"	DCv2	PI533797	PI533797	1261.817	0.861887	672	600	0.107142857142857	0.892857142857143
"DCv2	PI533798	PI533798	4.605170e+01	1.170036e+00	672	669"	DCv2	PI533798	PI533798	46.0517	1.170036	672	669	0.00446428571428571	0.995535714285714
"DCv2	PI533799	PI533799	1.307868e+03	8.892700e-01	677	604"	DCv2	PI533799	PI533799	1307.868	0.88927	677	604	0.107828655834564	0.892171344165436
"DCv2	PI533800	PI533800	9.855064e+02	9.129085e-01	676	609"	DCv2	PI533800	PI533800	985.5064	0.9129085	676	609	0.099112426035503	0.900887573964497
"DCv2	PI533802	PI533802	8.012996e+02	8.976274e-01	669	623"	DCv2	PI533802	PI533802	801.2996	0.8976274	669	623	0.0687593423019432	0.931240657698057
"DCv2	PI533803	PI533803	8.473513e+02	8.465071e-01	662	613"	DCv2	PI533803	PI533803	847.3513	0.8465071	662	613	0.0740181268882175	0.925981873111783
"DCv2	PI533804	PI533804	1.381551e+02	1.218632e+00	620	611"	DCv2	PI533804	PI533804	138.1551	1.218632	620	611	0.0145161290322581	0.985483870967742
"DCv2	PI533807	PI533807	1.501285e+03	1.146653e+00	675	588"	DCv2	PI533807	PI533807	1501.285	1.146653	675	588	0.128888888888889	0.871111111111111
"DCv2	PI533808	PI533808	1.547337e+03	1.193308e+00	668	577"	DCv2	PI533808	PI533808	1547.337	1.193308	668	577	0.13622754491018	0.86377245508982
"DCv2	PI533809	PI533809	9.762961e+02	8.265370e-01	666	611"	DCv2	PI533809	PI533809	976.2961	0.826537	666	611	0.0825825825825826	0.917417417417417
"DCv2	PI533810	PI533810	1.446023e+03	8.382206e-01	677	593"	DCv2	PI533810	PI533810	1446.023	0.8382206	677	593	0.124076809453471	0.875923190546529
"DCv2	PI533811	PI533811	8.105100e+02	8.526303e-01	669	621"	DCv2	PI533811	PI533811	810.51	0.8526303	669	621	0.0717488789237668	0.928251121076233
"DCv2	PI533812	PI533812	1.123662e+03	8.422703e-01	650	584"	DCv2	PI533812	PI533812	1123.662	0.8422703	650	584	0.101538461538462	0.898461538461539
"DCv2	PI533813	PI533813	7.644583e+02	8.597102e-01	671	629"	DCv2	PI533813	PI533813	764.4583	0.8597102	671	629	0.0625931445603577	0.937406855439642
"DCv2	PI533814	PI533814	1.224975e+03	8.346916e-01	677	609"	DCv2	PI533814	PI533814	1224.975	0.8346916	677	609	0.100443131462334	0.899556868537666
"DCv2	PI533818	PI533818	8.565617e+02	1.095739e+00	610	561"	DCv2	PI533818	PI533818	856.5617	1.095739	610	561	0.080327868852459	0.919672131147541
"DCv2	PI533819	PI533819	7.368272e+02	1.518931e+00	668	626"	DCv2	PI533819	PI533819	736.8272	1.518931	668	626	0.062874251497006	0.937125748502994
"DCv2	PI533821	PI533821	1.022348e+03	1.302057e+00	676	618"	DCv2	PI533821	PI533821	1022.348	1.302057	676	618	0.0857988165680473	0.914201183431953
"DCv2	PI533822	PI533822	9.118237e+02	1.081907e+00	677	622"	DCv2	PI533822	PI533822	911.8237	1.081907	677	622	0.0812407680945347	0.918759231905465
"DCv2	PI533823	PI533823	1.077610e+03	8.198447e-01	648	588"	DCv2	PI533823	PI533823	1077.61	0.8198447	648	588	0.0925925925925926	0.907407407407407
"DCv2	PI533824	PI533824	4.365701e+03	5.972295e-01	677	437"	DCv2	PI533824	PI533824	4365.701	0.5972295	677	437	0.354505169867061	0.64549483013294
"DCv2	PI533825	PI533825	1.049979e+03	8.972720e-01	669	606"	DCv2	PI533825	PI533825	1049.979	0.897272	669	606	0.0941704035874439	0.905829596412556
"DCv2	PI533828	PI533828	1.243396e+03	9.467655e-01	671	602"	DCv2	PI533828	PI533828	1243.396	0.9467655	671	602	0.102831594634873	0.897168405365127
"DCv2	PI533829	PI533829	9.855064e+02	9.909565e-01	663	608"	DCv2	PI533829	PI533829	985.5064	0.9909565	663	608	0.0829562594268477	0.917043740573152
"DCv2	PI533830	PI533830	3.628874e+03	6.363854e-01	591	391"	DCv2	PI533830	PI533830	3628.874	0.6363854	591	391	0.338409475465313	0.661590524534687
"DCv2	PI533831	PI533831	5.986721e+02	9.666808e-01	677	640"	DCv2	PI533831	PI533831	598.6721	0.9666808	677	640	0.0546528803545052	0.945347119645495
"DCv2	PI533833	PI533833	2.044696e+03	8.456266e-01	653	537"	DCv2	PI533833	PI533833	2044.696	0.8456266	653	537	0.177641653905054	0.822358346094946
"DCv2	PI533835	PI533835	1.160503e+03	8.569982e-01	554	490"	DCv2	PI533835	PI533835	1160.503	0.8569982	554	490	0.115523465703971	0.884476534296029
"DCv2	PI533836	PI533836	1.003927e+03	8.717429e-01	551	492"	DCv2	PI533836	PI533836	1003.927	0.8717429	551	492	0.107078039927405	0.892921960072595
"DCv2	PI533837	PI533837	1.455234e+03	7.375937e-01	649	565"	DCv2	PI533837	PI533837	1455.234	0.7375937	649	565	0.129429892141757	0.870570107858244
