V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	Method	WGS	RNA	Score	PL_ratio	N_sites	N_match	Concordance
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	DCv2	BTx645	BTx645	18.42068	1.165893	670	668	0.997014925373134
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	DCv2	PI152651	PI152651	1317.079	0.7688286	675	598	0.885925925925926
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	DCv2	PI153844	PI153844	1059.189	1.324237	653	593	0.908116385911179
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	DCv2	PI153846	PI153846	9.21034	1.169225	668	667	0.998502994011976
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	DCv2	PI22326	PI22326	1326.289	0.8852073	664	588	0.885542168674699
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	DCv2	PI24969	PI24969	1169.713	0.7760625	677	609	0.899556868537666
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	DCv2	PI276837	PI276837	2910.468	0.7039626	677	514	0.759231905465288
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	DCv2	PI34911	PI34911	1105.241	0.8270034	659	595	0.90288315629742
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	DCv2	PI48770	PI48770	4982.794	0.5098171	659	385	0.584218512898331
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	DCv2	PI533745	PI533745	709.1962	0.7348517	479	440	0.918580375782881
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	DCv2	PI533746	PI533746	1482.865	0.9360452	660	578	0.875757575757576
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	DCv2	PI533747	PI533747	819.7203	0.8866263	596	549	0.921140939597315
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	DCv2	PI533749	PI533749	534.1997	1.16453	534	502	0.940074906367041
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	DCv2	PI533750	PI533750	4080.181	0.6357653	672	446	0.663690476190476
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	DCv2	PI533751	PI533751	1049.979	1.04725	667	605	0.907046476761619
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	DCv2	PI533752	PI533752	1151.293	0.9393704	677	612	0.903988183161004
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	DCv2	PI533753	PI533753	580.2514	1.067594	592	559	0.944256756756757
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	DCv2	PI533754	PI533754	709.1962	0.8807276	676	631	0.933431952662722
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	DCv2	PI533755	PI533755	3453.878	0.6660857	676	485	0.717455621301775
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	DCv2	PI533756	PI533756	405.255	0.9449644	670	645	0.962686567164179
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	DCv2	PI533757	PI533757	1132.872	0.9125034	677	610	0.901033973412112
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	DCv2	PI533758	PI533758	1399.972	0.9226883	677	600	0.886262924667651
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	DCv2	PI533759	PI533759	819.7203	1.023386	677	629	0.929098966026588
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	DCv2	PI533760	PI533760	1040.768	0.884918	674	616	0.913946587537092
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	DCv2	PI533761	PI533761	1510.496	0.8553972	676	590	0.872781065088758
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	DCv2	PI533762	PI533762	957.8754	0.8399945	669	614	0.91778774289985
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	DCv2	PI533763	PI533763	5268.315	0.8716535	673	382	0.567607726597325
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	DCv2	PI533764	PI533764	792.0893	1.39531	421	378	0.897862232779097
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	DCv2	PI533765	PI533765	644.7238	1.251966	471	436	0.925690021231422
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	DCv2	PI533766	PI533766	782.8789	1.092763	676	628	0.928994082840237
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	DCv2	PI533769	PI533769	653.9342	0.8956117	677	639	0.943870014771049
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	DCv2	PI533770	PI533770	1123.662	1.046918	672	603	0.897321428571429
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	DCv2	PI533771	PI533771	948.6651	1.057185	668	613	0.917664670658683
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	DCv2	PI533772	PI533772	2514.423	0.7827391	660	520	0.787878787878788
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	DCv2	PI533774	PI533774	1363.13	1.087499	666	590	0.885885885885886
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	DCv2	PI533775	PI533775	4301.229	0.7903401	644	409	0.635093167701863
