base_id	WGS_ID	RNA_ID	IBS
BTx645	BTx645	2:BTx645	0.9719702
PI152651	PI152651	2:PI152651	0.9289917
PI153844	PI153844	2:PI153844	0.9448134
PI153846	PI153846	2:PI153846	0.9436842
PI22326	PI22326	2:PI22326	0.9444
PI24969	PI24969	2:PI24969	0.9222019
PI276837	PI276837	2:PI276837	0.879738
PI34911	PI34911	2:PI34911	0.9357133
PI48770	PI48770	2:PI48770	0.662897
PI533745	PI533745	2:PI533745	0.9354708
PI533746	PI533746	2:PI533746	0.907027
PI533747	PI533747	2:PI533747	0.9321809
PI533749	PI533749	2:PI533749	0.9399066
PI533750	PI533750	2:PI533750	0.772031
PI533751	PI533751	2:PI533751	0.856076
PI533752	PI533752	2:PI533752	0.938611
PI533753	PI533753	2:PI533753	0.936879
PI533754	PI533754	2:PI533754	0.9318602
PI533755	PI533755	2:PI533755	0.699605
PI533756	PI533756	2:PI533756	0.9582754
PI533757	PI533757	2:PI533757	0.934039
PI533758	PI533758	2:PI533758	0.9158585
PI533759	PI533759	2:PI533759	0.9438135
PI533760	PI533760	2:PI533760	0.9411313
PI533761	PI533761	2:PI533761	0.916844
PI533762	PI533762	2:PI533762	0.9382815
PI533763	PI533763	2:PI533763	0.745001
PI533764	PI533764	2:PI533764	0.9237742
PI533765	PI533765	2:PI533765	0.9205316
PI533766	PI533766	2:PI533766	0.9378357
PI533769	PI533769	2:PI533769	0.9402823
PI533770	PI533770	2:PI533770	0.9206758
PI533771	PI533771	2:PI533771	0.9373123
PI533772	PI533772	2:PI533772	0.719466
PI533774	PI533774	2:PI533774	0.9369158
PI533775	PI533775	2:PI533775	0.655644
PI533776	PI533776	2:PI533776	0.9374598
PI533777	PI533777	2:PI533777	0.9365178
PI533778	PI533778	2:PI533778	0.9383001
PI533779	PI533779	2:PI533779	0.634863
PI533780	PI533780	2:PI533780	0.660128
PI533781	PI533781	2:PI533781	0.716275
PI533783	PI533783	2:PI533783	0.926424
PI533784	PI533784	2:PI533784	0.9353213
PI533785	PI533785	2:PI533785	0.9295211
PI533786	PI533786	2:PI533786	0.9129996
PI533787	PI533787	2:PI533787	0.718309
PI533788	PI533788	2:PI533788	0.652371
PI533789	PI533789	2:PI533789	0.9503097
PI533790	PI533790	2:PI533790	0.9023573
PI533791	PI533791	2:PI533791	0.9189858
PI533792	PI533792	2:PI533792	0.9094153
PI533793	PI533793	2:PI533793	0.936954
PI533794	PI533794	2:PI533794	0.9446936
PI533795	PI533795	2:PI533795	0.9115027
PI533797	PI533797	2:PI533797	0.9146585
PI533798	PI533798	2:PI533798	0.946122
PI533799	PI533799	2:PI533799	0.9368314
PI533800	PI533800	2:PI533800	0.9470883
PI533802	PI533802	2:PI533802	0.9546336
PI533803	PI533803	2:PI533803	0.9395152
PI533804	PI533804	2:PI533804	0.9487306
PI533807	PI533807	2:PI533807	0.9298791
PI533808	PI533808	2:PI533808	0.9147068
PI533809	PI533809	2:PI533809	0.9333368
PI533810	PI533810	2:PI533810	0.9226605
PI533811	PI533811	2:PI533811	0.9345621
PI533812	PI533812	2:PI533812	0.9165522
PI533813	PI533813	2:PI533813	0.9417736
PI533814	PI533814	2:PI533814	0.9314179
PI533818	PI533818	2:PI533818	0.9276806
PI533819	PI533819	2:PI533819	0.890482
PI533821	PI533821	2:PI533821	0.9398784
PI533822	PI533822	2:PI533822	0.9509726
PI533823	PI533823	2:PI533823	0.9441631
PI533824	PI533824	2:PI533824	0.9073259
PI533825	PI533825	2:PI533825	0.9333666
PI533828	PI533828	2:PI533828	0.9167072
PI533829	PI533829	2:PI533829	0.9124212
PI533830	PI533830	2:PI533830	0.82991
PI533831	PI533831	2:PI533831	0.9468685
PI533833	PI533833	2:PI533833	0.889883
PI533835	PI533835	2:PI533835	0.9224858
PI533836	PI533836	2:PI533836	0.9250642
PI533837	PI533837	2:PI533837	0.9082247
PI533838	PI533838	2:PI533838	0.946393
PI533840	PI533840	2:PI533840	0.9265671
PI533841	PI533841	2:PI533841	0.751086
PI533842	PI533842	2:PI533842	0.9218641
PI533843	PI533843	2:PI533843	0.768972
PI533844	PI533844	2:PI533844	0.9404399
PI533846	PI533846	2:PI533846	0.9244796
PI533847	PI533847	2:PI533847	0.9449611
PI533848	PI533848	2:PI533848	0.9389067
PI533850	PI533850	2:PI533850	0.9435394
PI533851	PI533851	2:PI533851	0.9336921
PI533852	PI533852	2:PI533852	0.9357283
PI533853	PI533853	2:PI533853	0.9298944
PI533854	PI533854	2:PI533854	0.734548
PI533855	PI533855	2:PI533855	0.9227435
PI533857	PI533857	2:PI533857	0.9312366
PI533859	PI533859	2:PI533859	0.858598
PI533860	PI533860	2:PI533860	0.9175536
PI533861	PI533861	2:PI533861	0.9376877
PI533862	PI533862	2:PI533862	0.629928
PI533863	PI533863	2:PI533863	0.846412
PI533864	PI533864	2:PI533864	0.9305524
PI533866	PI533866	2:PI533866	0.732209
PI533867	PI533867	2:PI533867	0.935448
PI533869	PI533869	2:PI533869	0.9260835
PI533870	PI533870	2:PI533870	0.9174456
PI533871	PI533871	2:PI533871	0.9163541
PI533872	PI533872	2:PI533872	0.9427886
PI533873	PI533873	2:PI533873	0.9408341
PI533874	PI533874	2:PI533874	0.9229331
PI533876	PI533876	2:PI533876	0.650886
PI533877	PI533877	2:PI533877	0.9288302
PI533878	PI533878	2:PI533878	0.9371893
PI533880	PI533880	2:PI533880	0.9042826
PI533881	PI533881	2:PI533881	0.9294466
PI533882	PI533882	2:PI533882	0.88146
PI533884	PI533884	2:PI533884	0.9306175
PI533885	PI533885	2:PI533885	0.9401112
PI533887	PI533887	2:PI533887	0.9300973
PI533888	PI533888	2:PI533888	0.9303284
PI533893	PI533893	2:PI533893	0.9448733
PI533894	PI533894	2:PI533894	0.9334521
PI533897	PI533897	2:PI533897	0.9405539
PI533898	PI533898	2:PI533898	0.9327091
PI533899	PI533899	2:PI533899	0.9284807
PI533900	PI533900	2:PI533900	0.9395176
PI533901	PI533901	2:PI533901	0.9301124
PI533903	PI533903	2:PI533903	0.9300106
PI533904	PI533904	2:PI533904	0.9185362
PI533906	PI533906	2:PI533906	0.9269709
PI533907	PI533907	2:PI533907	0.9099269
PI533908	PI533908	2:PI533908	0.9409241
PI533909	PI533909	2:PI533909	0.9439064
PI533910	PI533910	2:PI533910	0.784877
PI533911	PI533911	2:PI533911	0.9195863
PI533912	PI533912	2:PI533912	0.9235046
PI533913	PI533913	2:PI533913	0.93978
PI533914	PI533914	2:PI533914	0.9489003
PI533915	PI533915	2:PI533915	0.9290481
PI533916	PI533916	2:PI533916	0.883475
PI533917	PI533917	2:PI533917	0.9169808
PI533918	PI533918	2:PI533918	0.9459102
PI533919	PI533919	2:PI533919	0.9274636
PI533920	PI533920	2:PI533920	0.9336808
PI533921	PI533921	2:PI533921	0.9288859
PI533922	PI533922	2:PI533922	0.9198464
PI533923	PI533923	2:PI533923	0.942095
PI533924	PI533924	2:PI533924	0.9180155
PI533925	PI533925	2:PI533925	0.9356967
PI533926	PI533926	2:PI533926	0.639841
PI533928	PI533928	2:PI533928	0.9483944
PI533929	PI533929	2:PI533929	0.9312892
PI533930	PI533930	2:PI533930	0.9493121
PI533931	PI533931	2:PI533931	0.9328418
PI533934	PI533934	2:PI533934	0.9118987
PI533935	PI533935	2:PI533935	0.9263306
PI533936	PI533936	2:PI533936	0.9494837
PI533937	PI533937	2:PI533937	0.9471203
PI533938	PI533938	2:PI533938	0.781095
PI533939	PI533939	2:PI533939	0.711517
PI533940	PI533940	2:PI533940	0.9409086
PI533941	PI533941	2:PI533941	0.9210874
PI533942	PI533942	2:PI533942	0.9225081
PI533943	PI533943	2:PI533943	0.656658
PI533944	PI533944	2:PI533944	0.897115
PI533946	PI533946	2:PI533946	0.9307688
PI533947	PI533947	2:PI533947	0.9425868
PI533948	PI533948	2:PI533948	0.638135
PI533949	PI533949	2:PI533949	0.9492069
PI533950	PI533950	2:PI533950	0.9259323
PI533952	PI533952	2:PI533952	0.726198
PI533953	PI533953	2:PI533953	0.9517655
PI533955	PI533955	2:PI533955	0.9507291
PI533956	PI533956	2:PI533956	0.9275646
PI533957	PI533957	2:PI533957	0.9307818
PI533958	PI533958	2:PI533958	0.9323583
PI533960	PI533960	2:PI533960	0.899357
PI533961	PI533961	2:PI533961	0.701514
PI533962	PI533962	2:PI533962	0.9398518
PI533963	PI533963	2:PI533963	0.693653
PI533964	PI533964	2:PI533964	0.9047517
PI533965	PI533965	2:PI533965	0.925291
PI533966	PI533966	2:PI533966	0.9490077
PI533967	PI533967	2:PI533967	0.9327432
PI533968	PI533968	2:PI533968	0.9435583
PI533969	PI533969	2:PI533969	0.9462548
PI533970	PI533970	2:PI533970	0.9365818
PI533971	PI533971	2:PI533971	0.9218199
PI533974	PI533974	2:PI533974	0.940402
PI533975	PI533975	2:PI533975	0.9438628
PI533976	PI533976	2:PI533976	0.9296873
PI533977	PI533977	2:PI533977	0.9383684
PI533978	PI533978	2:PI533978	0.9414921
PI533979	PI533979	2:PI533979	0.9544175
PI533980	PI533980	2:PI533980	0.887697
PI533981	PI533981	2:PI533981	0.9484925
PI533982	PI533982	2:PI533982	0.9533502
PI533983	PI533983	2:PI533983	0.9487374
PI533984	PI533984	2:PI533984	0.9453719
PI533985	PI533985	2:PI533985	0.9173927
PI533986	PI533986	2:PI533986	0.9421281
PI533987	PI533987	2:PI533987	0.940518
PI533988	PI533988	2:PI533988	0.9545401
PI533989	PI533989	2:PI533989	0.9397086
PI533990	PI533990	2:PI533990	0.9359468
PI533991	PI533991	2:PI533991	0.9307895
PI533992	PI533992	2:PI533992	0.9317566
PI533993	PI533993	2:PI533993	0.9492726
PI533994	PI533994	2:PI533994	0.9079933
PI533995	PI533995	2:PI533995	0.9415622
PI533996	PI533996	2:PI533996	0.680055
PI533997	PI533997	2:PI533997	0.9371931
PI533999	PI533999	2:PI533999	0.9302415
PI534001	PI534001	2:PI534001	0.9483828
PI534002	PI534002	2:PI534002	0.9461132
PI534004	PI534004	2:PI534004	0.927696
PI534005	PI534005	2:PI534005	0.9246657
PI534006	PI534006	2:PI534006	0.9413159
PI534007	PI534007	2:PI534007	0.9267079
PI534008	PI534008	2:PI534008	0.9430865
PI534009	PI534009	2:PI534009	0.86939
PI534010	PI534010	2:PI534010	0.9260374
PI534011	PI534011	2:PI534011	0.94133
PI534013	PI534013	2:PI534013	0.9489388
PI534014	PI534014	2:PI534014	0.925202
PI534015	PI534015	2:PI534015	0.9318288
PI534016	PI534016	2:PI534016	0.9432246
PI534017	PI534017	2:PI534017	0.9299084
