FID1	IID1	FID2	IID2	RT	EZ	Z0	Z1	Z2	PI_HAT	PHE	DST	PPC	RATIO	IBS0	IBS1	IBS2	HOMHOM	HETHET	iid1_base	iid2_base	type1	type2	group
BTx645	BTx645	2:BTx645	2:BTx645	UN		0	0	1	1	-1	0.97197	0	0.0237	3250	1044	130277	380	9	BTx645	BTx645	WGS	RNA	Other pairs
PI152651	PI152651	2:PI152651	2:PI152651	UN		1	0	0	0	-1	0.928992	0	0.0365	7679	3782	123312	631	23	PI152651	PI152651	WGS	RNA	Other pairs
PI153844	PI153844	2:PI153844	2:PI153844	UN		0	0	1	1	-1	0.944813	0	0.0231	6287	1853	122571	605	14	PI153844	PI153844	WGS	RNA	Other pairs
PI153846	PI153846	2:PI153846	2:PI153846	UN		0	0	1	1	-1	0.943684	0	0.1316	5052	4760	122158	471	62	PI153846	PI153846	WGS	RNA	Other pairs
PI22326	PI22326	2:PI22326	2:PI22326	UN		0	0	1	1	-1	0.9444	0	0.0287	6203	2331	123993	592	17	PI22326	PI22326	WGS	RNA	Other pairs
PI24969	PI24969	2:PI24969	2:PI24969	UN		1	0	0	0	-1	0.922202	0	0.0148	8915	3201	123048	676	10	PI24969	PI24969	WGS	RNA	Other pairs
PI276837	PI276837	2:PI276837	2:PI276837	UN		1	0	0	0	-1	0.879738	0	0.0191	14849	2985	118049	629	12	PI276837	PI276837	WGS	RNA	Other pairs
PI34911	PI34911	2:PI34911	2:PI34911	UN		0	0	1	1	-1	0.935713	0	0.0289	7445	2273	123770	622	18	PI34911	PI34911	WGS	RNA	Other pairs
PI48770	PI48770	2:PI48770	2:PI48770	UN		1	0	0	0	-1	0.662897	0	0	43616	2049	86759	879	0	PI48770	PI48770	WGS	RNA	Other pairs
PI533745	PI533745	2:PI533745	2:PI533745	UN		1	0	0	0	-1	0.935471	0	0.032	5455	1647	90195	593	19	PI533745	PI533745	WGS	RNA	Other pairs
PI533746	PI533746	2:PI533746	2:PI533746	UN		1	0	0	0	-1	0.907027	0	0.0155	10916	2555	117680	708	11	PI533746	PI533746	WGS	RNA	Other pairs
PI533747	PI533747	2:PI533747	2:PI533747	UN		1	0	0	0	-1	0.932181	0	0.0216	7017	1980	109067	647	14	PI533747	PI533747	WGS	RNA	Other pairs
PI533749	PI533749	2:PI533749	2:PI533749	UN		0	0	1	1	-1	0.939907	0	0.0166	5493	1811	99172	602	10	PI533749	PI533749	WGS	RNA	Other pairs
PI533750	PI533750	2:PI533750	2:PI533750	UN		1	0	0	0	-1	0.772031	0	0.0089	29099	2625	101678	785	7	PI533750	PI533750	WGS	RNA	Other pairs
PI533751	PI533751	2:PI533751	2:PI533751	UN		1	0	0	0	-1	0.856076	0	0.017	17050	4389	112274	706	12	PI533751	PI533751	WGS	RNA	Other pairs
PI533752	PI533752	2:PI533752	2:PI533752	UN		0	0	1	1	-1	0.938611	0	0.0311	7057	2525	125939	610	19	PI533752	PI533752	WGS	RNA	Other pairs
PI533753	PI533753	2:PI533753	2:PI533753	UN		0	0	1	1	-1	0.936879	0	0.0304	6546	2130	111902	592	18	PI533753	PI533753	WGS	RNA	Other pairs
PI533754	PI533754	2:PI533754	2:PI533754	UN		0	0	1	1	-1	0.93186	0	0.0309	6849	4709	123510	615	19	PI533754	PI533754	WGS	RNA	Other pairs
PI533755	PI533755	2:PI533755	2:PI533755	UN		1	0	0	0	-1	0.699605	0	0.0096	38064	5112	92046	835	8	PI533755	PI533755	WGS	RNA	Other pairs
PI533756	PI533756	2:PI533756	2:PI533756	UN		0	0	1	1	-1	0.958275	0	0.0423	4686	1792	127304	497	21	PI533756	PI533756	WGS	RNA	Other pairs
PI533757	PI533757	2:PI533757	2:PI533757	UN		0	0	1	1	-1	0.934039	0	0.0252	7338	3203	124986	596	15	PI533757	PI533757	WGS	RNA	Other pairs
PI533758	PI533758	2:PI533758	2:PI533758	UN		1	0	0	0	-1	0.915859	0	0.0194	10012	2813	122881	617	12	PI533758	PI533758	WGS	RNA	Other pairs
PI533759	PI533759	2:PI533759	2:PI533759	UN		0	0	1	1	-1	0.943813	0	0.0425	6452	2313	126650	588	25	PI533759	PI533759	WGS	RNA	Other pairs
PI533760	PI533760	2:PI533760	2:PI533760	UN		0	0	1	1	-1	0.941131	0	0.0367	6696	2542	126097	600	22	PI533760	PI533760	WGS	RNA	Other pairs
PI533761	PI533761	2:PI533761	2:PI533761	UN		1	0	0	0	-1	0.916844	0	0.0179	9817	2874	122645	613	11	PI533761	PI533761	WGS	RNA	Other pairs
PI533762	PI533762	2:PI533762	2:PI533762	UN		0	0	1	1	-1	0.938282	0	0.018	7187	2131	124394	610	11	PI533762	PI533762	WGS	RNA	Other pairs
PI533763	PI533763	2:PI533763	2:PI533763	UN		1	0	0	0	-1	0.745001	0	0.0064	32701	2541	97980	786	5	PI533763	PI533763	WGS	RNA	Other pairs
PI533764	PI533764	2:PI533764	2:PI533764	UN		1	0	0	0	-1	0.923774	0	0.0207	5806	1590	79202	580	12	PI533764	PI533764	WGS	RNA	Other pairs
PI533765	PI533765	2:PI533765	2:PI533765	UN		1	0	0	0	-1	0.920532	0	0.0143	6859	1744	88681	628	9	PI533765	PI533765	WGS	RNA	Other pairs
PI533766	PI533766	2:PI533766	2:PI533766	UN		0	0	1	1	-1	0.937836	0	0.0482	7061	2682	125415	602	29	PI533766	PI533766	WGS	RNA	Other pairs
PI533769	PI533769	2:PI533769	2:PI533769	UN		0	0	1	1	-1	0.940282	0	0.0384	6722	2702	125762	599	23	PI533769	PI533769	WGS	RNA	Other pairs
PI533770	PI533770	2:PI533770	2:PI533770	UN		1	0	0	0	-1	0.920676	0	0.0266	9302	2603	121768	640	17	PI533770	PI533770	WGS	RNA	Other pairs
PI533771	PI533771	2:PI533771	2:PI533771	UN		0	0	1	1	-1	0.937312	0	0.0288	7259	2220	124024	626	18	PI533771	PI533771	WGS	RNA	Other pairs
PI533772	PI533772	2:PI533772	2:PI533772	UN		1	0	0	0	-1	0.719466	0	0.0046	35721	2551	93607	862	4	PI533772	PI533772	WGS	RNA	Other pairs
PI533774	PI533774	2:PI533774	2:PI533774	UN		0	0	1	1	-1	0.936916	0	0.0332	7274	2244	123574	632	21	PI533774	PI533774	WGS	RNA	Other pairs
PI533775	PI533775	2:PI533775	2:PI533775	UN		1	0	0	0	-1	0.655644	0	0.0034	43000	2483	82993	876	3	PI533775	PI533775	WGS	RNA	Other pairs
PI533776	PI533776	2:PI533776	2:PI533776	UN		0	0	1	1	-1	0.93746	0	0.0451	6782	3339	125016	621	28	PI533776	PI533776	WGS	RNA	Other pairs
PI533777	PI533777	2:PI533777	2:PI533777	UN		0	0	1	1	-1	0.936518	0	0.0192	6398	1803	106784	625	12	PI533777	PI533777	WGS	RNA	Other pairs
PI533778	PI533778	2:PI533778	2:PI533778	UN		0	0	1	1	-1	0.9383	0	0.0243	7009	2465	124100	618	15	PI533778	PI533778	WGS	RNA	Other pairs
PI533779	PI533779	2:PI533779	2:PI533779	UN		1	0	0	0	-1	0.634863	0	0.0044	44731	2903	78846	904	4	PI533779	PI533779	WGS	RNA	Other pairs
