base_id	WGS_ID	RNA_ID	IBS
PI276837	PI276837	2:PI276837	0.879738
PI48770	PI48770	2:PI48770	0.662897
PI533750	PI533750	2:PI533750	0.772031
PI533751	PI533751	2:PI533751	0.856076
PI533755	PI533755	2:PI533755	0.699605
PI533763	PI533763	2:PI533763	0.745001
PI533772	PI533772	2:PI533772	0.719466
PI533775	PI533775	2:PI533775	0.655644
PI533779	PI533779	2:PI533779	0.634863
PI533780	PI533780	2:PI533780	0.660128
PI533781	PI533781	2:PI533781	0.716275
PI533787	PI533787	2:PI533787	0.718309
PI533788	PI533788	2:PI533788	0.652371
PI533819	PI533819	2:PI533819	0.890482
PI533830	PI533830	2:PI533830	0.82991
PI533833	PI533833	2:PI533833	0.889883
PI533841	PI533841	2:PI533841	0.751086
PI533843	PI533843	2:PI533843	0.768972
PI533854	PI533854	2:PI533854	0.734548
PI533859	PI533859	2:PI533859	0.858598
PI533862	PI533862	2:PI533862	0.629928
PI533863	PI533863	2:PI533863	0.846412
PI533866	PI533866	2:PI533866	0.732209
PI533876	PI533876	2:PI533876	0.650886
PI533882	PI533882	2:PI533882	0.88146
PI533910	PI533910	2:PI533910	0.784877
PI533916	PI533916	2:PI533916	0.883475
PI533926	PI533926	2:PI533926	0.639841
PI533938	PI533938	2:PI533938	0.781095
PI533939	PI533939	2:PI533939	0.711517
PI533943	PI533943	2:PI533943	0.656658
PI533944	PI533944	2:PI533944	0.897115
PI533948	PI533948	2:PI533948	0.638135
PI533952	PI533952	2:PI533952	0.726198
PI533960	PI533960	2:PI533960	0.899357
PI533961	PI533961	2:PI533961	0.701514
PI533963	PI533963	2:PI533963	0.693653
PI533980	PI533980	2:PI533980	0.887697
PI533996	PI533996	2:PI533996	0.680055
PI534009	PI534009	2:PI534009	0.86939
PI534020	PI534020	2:PI534020	0.896371
PI534024	PI534024	2:PI534024	0.851033
PI534036	PI534036	2:PI534036	0.87975
PI534055	PI534055	2:PI534055	0.898211
PI534057	PI534057	2:PI534057	0.890998
PI534062	PI534062	2:PI534062	0.887204
PI534075	PI534075	2:PI534075	0.641117
PI534084	PI534084	2:PI534084	0.899639
PI534087	PI534087	2:PI534087	0.868713
PI534088	PI534088	2:PI534088	0.672437
PI534096	PI534096	2:PI534096	0.612947
PI534098	PI534098	2:PI534098	0.653867
PI534121	PI534121	2:PI534121	0.690503
PI534123	PI534123	2:PI534123	0.826378
PI534124	PI534124	2:PI534124	0.840544
PI534127	PI534127	2:PI534127	0.806631
PI534130	PI534130	2:PI534130	0.861783
PI534135	PI534135	2:PI534135	0.6559
PI534136	PI534136	2:PI534136	0.895003
PI534139	PI534139	2:PI534139	0.835629
PI534144	PI534144	2:PI534144	0.87974
PI534148	PI534148	2:PI534148	0.777981
PI534156	PI534156	2:PI534156	0.64257
PI534158	PI534158	2:PI534158	0.649606
PI534166	PI534166	2:PI534166	0.672935
PI561072	PI561072	2:PI561072	0.718531
PI576130	PI576130	2:PI576130	0.790338
PI576330	PI576330	2:PI576330	0.876028
PI576334	PI576334	2:PI576334	0.687594
PI576335	PI576335	2:PI576335	0.666333
PI576346	PI576346	2:PI576346	0.675437
PI576349	PI576349	2:PI576349	0.899288
PI576366	PI576366	2:PI576366	0.840752
PI576368	PI576368	2:PI576368	0.893222
PI576375	PI576375	2:PI576375	0.896624
PI576383	PI576383	2:PI576383	0.889894
PI576385	PI576385	2:PI576385	0.752825
PI576391	PI576391	2:PI576391	0.619721
PI576394	PI576394	2:PI576394	0.657833
PI576420	PI576420	2:PI576420	0.690046
PI576427	PI576427	2:PI576427	0.898209
PI576431	PI576431	2:PI576431	0.894014
PI576437	PI576437	2:PI576437	0.889193
PI585295	PI585295	2:PI585295	0.841484
PI595703	PI595703	2:PI595703	0.638623
PI595712	PI595712	2:PI595712	0.673228
PI595715	PI595715	2:PI595715	0.712425
PI595729	PI595729	2:PI595729	0.676785
PI595730	PI595730	2:PI595730	0.645046
PI595740	PI595740	2:PI595740	0.804229
PI597944	PI597944	2:PI597944	0.698694
PI597945	PI597945	2:PI597945	0.673175
PI597952	PI597952	2:PI597952	0.883935
PI597956	PI597956	2:PI597956	0.676813
PI597960	PI597960	2:PI597960	0.661696
PI597975	PI597975	2:PI597975	0.882951
PI597977	PI597977	2:PI597977	0.701214
PI601816	PI601816	2:PI601816	0.654443
PI609456	PI609456	2:PI609456	0.894049
PI641874	PI641874	2:PI641874	0.685407
PI642793	PI642793	2:PI642793	0.845398
PI642992	PI642992	2:PI642992	0.666963
PI642998	PI642998	2:PI642998	0.891457
PI655973	PI655973	2:PI655973	0.661793
PI655976	PI655976	2:PI655976	0.760552
PI655981	PI655981	2:PI655981	0.658806
PI655994	PI655994	2:PI655994	0.885203
PI655997	PI655997	2:PI655997	0.705456
PI655998	PI655998	2:PI655998	0.771501
PI656009	PI656009	2:PI656009	0.799703
PI656013	PI656013	2:PI656013	0.854436
PI656014	PI656014	2:PI656014	0.80643
PI656021	PI656021	2:PI656021	0.680808
PI656022	PI656022	2:PI656022	0.633174
PI656026	PI656026	2:PI656026	0.803132
PI656032	PI656032	2:PI656032	0.807322
PI656035	PI656035	2:PI656035	0.857001
PI656041	PI656041	2:PI656041	0.889386
PI656043	PI656043	2:PI656043	0.770716
PI656052	PI656052	2:PI656052	0.685354
PI656063	PI656063	2:PI656063	0.87936
PI656077	PI656077	2:PI656077	0.740522
PI656080	PI656080	2:PI656080	0.62351
PI656082	PI656082	2:PI656082	0.678309
PI656088	PI656088	2:PI656088	0.627302
PI656089	PI656089	2:PI656089	0.714163
PI656090	PI656090	2:PI656090	0.665002
PI656093	PI656093	2:PI656093	0.898746
PI656110	PI656110	2:PI656110	0.898485
PI656114	PI656114	2:PI656114	0.88221
PI656115	PI656115	2:PI656115	0.626766
PI656116	PI656116	2:PI656116	0.866702
PI656119	PI656119	2:PI656119	0.656374
SC0249	SC0249	2:SC0249	0.878194
SC0276	SC0276	2:SC0276	0.690443
SC0287	SC0287	2:SC0287	0.682578
SC0412	SC0412	2:SC0412	0.713876
SC0521	SC0521	2:SC0521	0.766496
SC0547	SC0547	2:SC0547	0.806439
SC0582	SC0582	2:SC0582	0.896564
SC0604	SC0604	2:SC0604	0.680696
SC0615	SC0615	2:SC0615	0.661583
SC0652	SC0652	2:SC0652	0.660277
SC0837	SC0837	2:SC0837	0.63316
SC0923	SC0923	2:SC0923	0.757834
SC0965	SC0965	2:SC0965	0.64076
SC0999	SC0999	2:SC0999	0.656199
SC1024	SC1024	2:SC1024	0.705079
SC1178	SC1178	2:SC1178	0.683781
SC1442	SC1442	2:SC1442	0.891093
