sample	nRefHom	nAltHom	nHet	nMissing	nCalled	het_rate
BTx643	22115117	596085	81021	447735	22792223	0.00355477
BTx645	27373015	482621	81533	372164	27937169	0.00291844
ExPVP_PI543243	27455649	1803328	629022	1619767	29887999	0.021046
ExPVP_PI543247	29211256	973293	427263	927828	30611812	0.0139575
ExPVP_PI544069	28388472	1444831	528340	1309092	30361643	0.0174016
ExPVP_PI554646	29084322	1338767	479020	1211777	30902109	0.0155012
ExPVP_PI554647	28495265	1427883	523046	1297325	30446194	0.0171794
ExPVP_PI554648	29578390	1128655	431594	1035381	31138639	0.0138604
ExPVP_PI554649	27904422	1685933	583307	1511847	30173662	0.0193317
ExPVP_PI554650	28254964	1575134	591878	1443598	30421976	0.0194556
ExPVP_PI554652	28968774	1330515	472784	1202983	30772073	0.0153641
ExPVP_PI554654	28251862	1341041	462973	1198266	30055876	0.0154037
ExPVP_PI555457	29818909	1051812	389773	957639	31260494	0.0124685
ExPVP_PI561926	27743451	1725732	629561	1568158	30098744	0.0209165
ExPVP_PI562621	28466103	1425789	664342	1385394	30556234	0.0217416
ExPVP_PI562622	28756981	1341463	491943	1215801	30590387	0.0160816
ExPVP_PI562623	28497615	1317361	485141	1192542	30300117	0.0160112
ExPVP_PI562624	28697648	1345759	547124	1255323	30590531	0.0178854
ExPVP_PI562625	28838429	1307070	433006	1158502	30578505	0.0141605
ExPVP_PI564085	28057033	1622209	546246	1444668	30225488	0.0180724
ExPVP_PI574398	27047694	1934534	739907	1781745	29722135	0.0248941
ExPVP_PI574406	28965478	1078350	374337	962394	30418165	0.0123064
ExPVP_PI574407	26119941	2217717	878444	2056716	29216102	0.0300671
ExPVP_PI594354	28323548	1557316	552694	1405883	30433558	0.0181607
ExPVP_PI594355	29827549	1053517	393723	961968	31274789	0.0125891
ExPVP_PI595221	27754968	1712544	597761	1532870	30065273	0.0198821
ExPVP_PI596332	29180140	1286578	451865	1162001	30918583	0.0146147
ExPVP_PI596567	27788875	1570324	517983	1384927	29877182	0.0173371
ExPVP_PI601264	27762319	1627860	587231	1471826	29977410	0.0195891
ExPVP_PI601415	27581432	1676135	610909	1519403	29868476	0.0204533
ExPVP_PI601552	27587765	621693	3771241	2886177	31980699	0.117922
ExPVP_PI601553	26669917	1506754	512460	1339294	28689131	0.0178625
ExPVP_PI601554	28096176	1367347	509520	1246645	29973043	0.0169993
ExPVP_PI601555	27099711	1340845	410359	1168679	28850915	0.0142234
ExPVP_PI601556	26544068	1879658	674393	1698303	29098119	0.0231765
ExPVP_PI601557	28041035	1597860	559096	1434700	30197991	0.0185143
ExPVP_PI601716	25257149	1696794	657323	1566085	27611266	0.0238063
ExPVP_PI601717	27120240	1418721	445612	1241372	28984573	0.0153741
ExPVP_PI601718	28304882	1131589	333092	969894	29769563	0.011189
ExPVP_PI601719	28769667	1315169	498506	1205162	30583342	0.0162999
ExPVP_PI601720	28721045	1154046	329871	980885	30204962	0.0109211
ExPVP_PI601721	28243155	1273272	419130	1122724	29935557	0.0140011
ExPVP_PI601743	25858572	1802342	661799	1639825	28322713	0.0233664
ExPVP_PI601744	26579524	1647146	506744	1429063	28733414	0.0176361
ExPVP_PI601756	27192208	1726706	584161	1534955	29503075	0.0198
ExPVP_PI602599	29494349	1100788	383989	984184	30979126	0.0123951
ExPVP_PI602600	27996671	1288639	398097	1113490	29683407	0.0134114
PI152651	27214611	1607291	499282	1395557	29321184	0.017028
PI153844	22235513	1390367	211862	1052039	23837742	0.00888767
PI153846	24338479	904164	304452	793130	25547095	0.0119173
PI17548	23052978	1653369	280829	1273572	24987176	0.0112389
PI22326	23791657	1302861	234307	1011376	25328825	0.00925061
PI24969	26422629	1888709	744807	1752210	29056145	0.0256334
PI276837	28407171	1355547	486787	1215939	30249505	0.0160924
PI329435	29952644	837302	384011	812777	31173957	0.0123183
PI329440	28116572	1458424	568294	1344210	30143290	0.0188531
PI34911	24382340	1366976	240488	1058935	25989804	0.00925317
PI35038	28366880	1313855	516677	1211919	30197412	0.01711
PI48770	25272569	941567	157102	719031	26371238	0.00595732
PI533745	15608522	884730	130928	667912	16624180	0.00787576
PI533746	21858052	1672163	273373	1279192	23803588	0.0114845
PI533747	19052187	1243126	186634	941281	20481947	0.00911212
PI533749	17289846	1014845	155854	768081	18460545	0.00844255
PI533750	23546768	1699329	283407	1303670	25529504	0.0111012
PI533751	24940621	1226015	261123	981210	26427759	0.00988063
PI533752	27804111	1541477	596051	1421688	29941639	0.0199071
PI533753	20608889	1145323	186181	876064	21940393	0.00848576
PI533754	26774876	1717127	679985	1589698	29171988	0.0233095
PI533755	27513473	1569590	701069	1508477	29784132	0.0235383
PI533756	25549756	1106763	198720	854592	26855239	0.00739967
PI533757	28476523	1334629	558580	1264602	30369732	0.0183927
