## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/work/jyanglab/subhash/SAP/alignment/bams_trimmed/PI656005.srt.bam] OUTPUT=/work/jyanglab/subhash/SAP/picard/dedup_trimmed/PI656005_picard_dedup.bam METRICS_FILE=/work/jyanglab/subhash/SAP/picard/metrics_trimmed/PI656005_picard_metrics.txt REMOVE_DUPLICATES=true TMP_DIR=[/work/jyanglab/subhash/SAP/picard/tmp] VALIDATION_STRINGENCY=SILENT CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_QUALITY_SUM_STRATEGY=false USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Sep 30 22:23:41 CDT 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	89406027	740263	0	0	22618669	0	0.252988	145436588

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	49479711	49479711
2.0	1.54078	13062338	13062338
3.0	1.833223	3096999	3096999
4.0	1.991371	732004	732004
5.0	2.076894	183519	183519
6.0	2.123143	50830	50830
7.0	2.148154	16041	16041
8.0	2.161679	5780	5780
9.0	2.168993	2273	2273
10.0	2.172949	1026	1026
11.0	2.175088	537	537
12.0	2.176244	261	261
13.0	2.17687	140	140
14.0	2.177208	74	74
15.0	2.177391	60	60
16.0	2.17749	32	32
17.0	2.177544	25	25
18.0	2.177572	17	17
19.0	2.177588	12	12
20.0	2.177597	10	10
21.0	2.177601	3	3
22.0	2.177604	4	4
23.0	2.177605	2	2
24.0	2.177606	2	2
25.0	2.177606	2	2
26.0	2.177606	2	2
27.0	2.177606	1	1
28.0	2.177606	2	2
29.0	2.177607	0	0
30.0	2.177607	0	0
31.0	2.177607	1	1
32.0	2.177607	1	1
33.0	2.177607	0	0
34.0	2.177607	0	0
35.0	2.177607	0	0
36.0	2.177607	1	1
37.0	2.177607	1	1
38.0	2.177607	0	0
39.0	2.177607	0	0
40.0	2.177607	0	0
41.0	2.177607	0	0
42.0	2.177607	0	0
43.0	2.177607	1	1
44.0	2.177607	0	0
45.0	2.177607	0	0
46.0	2.177607	0	0
47.0	2.177607	0	0
48.0	2.177607	0	0
49.0	2.177607	0	0
50.0	2.177607	0	0
51.0	2.177607	0	0
52.0	2.177607	0	0
53.0	2.177607	0	0
54.0	2.177607	0	0
55.0	2.177607	0	0
56.0	2.177607	0	0
57.0	2.177607	0	0
58.0	2.177607	0	0
59.0	2.177607	0	0
60.0	2.177607	0	0
61.0	2.177607	0	0
62.0	2.177607	0	0
63.0	2.177607	0	0
64.0	2.177607	0	0
65.0	2.177607	0	0
66.0	2.177607	0	0
67.0	2.177607	0	0
68.0	2.177607	0	0
69.0	2.177607	0	0
70.0	2.177607	0	0
71.0	2.177607	0	0
72.0	2.177607	0	0
73.0	2.177607	0	0
74.0	2.177607	0	0
75.0	2.177607	0	0
76.0	2.177607	0	0
77.0	2.177607	0	0
78.0	2.177607	0	0
79.0	2.177607	0	0
80.0	2.177607	0	0
81.0	2.177607	0	0
82.0	2.177607	0	0
83.0	2.177607	0	0
84.0	2.177607	0	0
85.0	2.177607	0	0
86.0	2.177607	0	0
87.0	2.177607	0	0
88.0	2.177607	1	1
89.0	2.177607	0	0
90.0	2.177607	0	0
91.0	2.177607	0	0
92.0	2.177607	0	0
93.0	2.177607	0	0
94.0	2.177607	0	0
95.0	2.177607	0	0
96.0	2.177607	0	0
97.0	2.177607	0	0
98.0	2.177607	0	0
99.0	2.177607	0	0
100.0	2.177607	0	0

