## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/lustre/work/jyanglab/subhash/ex_pvp/alignment_trimmed/ExPVP_PI562621.srt.bam] OUTPUT=/lustre/work/jyanglab/subhash/ex_pvp/picard/dedup_trimmed/ExPVP_PI562621_picard_dedup.bam METRICS_FILE=/lustre/work/jyanglab/subhash/ex_pvp/picard/metrics_trimmed/ExPVP_PI562621_picard_metrics.txt REMOVE_DUPLICATES=true TMP_DIR=[/lustre/work/jyanglab/subhash/ex_pvp/picard/tmp] VALIDATION_STRINGENCY=SILENT CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_QUALITY_SUM_STRATEGY=false USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Nov 02 08:30:45 CST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	128438060	523101	0	0	36705760	0	0.285786	179472397

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	64086263	64086263
2.0	1.488878	20750586	20750586
3.0	1.72788	5155117	5155117
4.0	1.844722	1156360	1156360
5.0	1.901844	256507	256507
6.0	1.92977	64044	64044
7.0	1.943422	22018	22018
8.0	1.950096	11049	11049
9.0	1.953359	7048	7048
10.0	1.954954	5112	5112
11.0	1.955734	3911	3911
12.0	1.956115	3065	3065
13.0	1.956302	2506	2506
14.0	1.956393	2047	2047
15.0	1.956437	1785	1785
16.0	1.956459	1494	1494
17.0	1.95647	1221	1221
18.0	1.956475	1063	1063
19.0	1.956477	892	892
20.0	1.956479	771	771
21.0	1.956479	683	683
22.0	1.95648	655	655
23.0	1.95648	564	564
24.0	1.95648	512	512
25.0	1.95648	415	415
26.0	1.95648	421	421
27.0	1.95648	325	325
28.0	1.95648	301	301
29.0	1.95648	263	263
30.0	1.95648	255	255
31.0	1.95648	218	218
32.0	1.95648	195	195
33.0	1.95648	199	199
34.0	1.95648	198	198
35.0	1.95648	179	179
36.0	1.95648	139	139
37.0	1.95648	134	134
38.0	1.95648	119	119
39.0	1.95648	129	129
40.0	1.95648	119	119
41.0	1.95648	95	95
42.0	1.95648	86	86
43.0	1.95648	101	101
44.0	1.95648	81	81
45.0	1.95648	89	89
46.0	1.95648	58	58
47.0	1.95648	69	69
48.0	1.95648	77	77
49.0	1.95648	68	68
50.0	1.95648	50	50
51.0	1.95648	50	50
52.0	1.95648	49	49
53.0	1.95648	38	38
54.0	1.95648	55	55
55.0	1.95648	50	50
56.0	1.95648	36	36
57.0	1.95648	36	36
58.0	1.95648	25	25
59.0	1.95648	38	38
60.0	1.95648	22	22
61.0	1.95648	33	33
62.0	1.95648	18	18
63.0	1.95648	22	22
64.0	1.95648	25	25
65.0	1.95648	20	20
66.0	1.95648	25	25
67.0	1.95648	15	15
68.0	1.95648	25	25
69.0	1.95648	21	21
70.0	1.95648	16	16
71.0	1.95648	16	16
72.0	1.95648	13	13
73.0	1.95648	16	16
74.0	1.95648	16	16
75.0	1.95648	13	13
76.0	1.95648	11	11
77.0	1.95648	14	14
78.0	1.95648	14	14
79.0	1.95648	11	11
80.0	1.95648	9	9
81.0	1.95648	7	7
82.0	1.95648	11	11
83.0	1.95648	10	10
84.0	1.95648	15	15
85.0	1.95648	8	8
86.0	1.95648	5	5
87.0	1.95648	10	10
88.0	1.95648	12	12
89.0	1.95648	3	3
90.0	1.95648	5	5
91.0	1.95648	11	11
92.0	1.95648	11	11
93.0	1.95648	3	3
94.0	1.95648	7	7
95.0	1.95648	5	5
96.0	1.95648	7	7
97.0	1.95648	7	7
98.0	1.95648	7	7
99.0	1.95648	10	10
100.0	1.95648	9	9
101.0	0	6	6
102.0	0	3	3
103.0	0	3	3
104.0	0	4	4
105.0	0	5	5
106.0	0	2	2
107.0	0	3	3
108.0	0	2	2
109.0	0	7	7
110.0	0	5	5
111.0	0	4	4
112.0	0	3	3
113.0	0	5	5
114.0	0	1	1
115.0	0	2	2
116.0	0	4	4
117.0	0	4	4
118.0	0	2	2
119.0	0	3	3
120.0	0	2	2
121.0	0	3	3
122.0	0	2	2
123.0	0	4	4
124.0	0	1	1
125.0	0	1	1
127.0	0	1	1
128.0	0	3	3
129.0	0	1	1
130.0	0	1	1
131.0	0	1	1
132.0	0	2	2
133.0	0	1	1
134.0	0	2	2
136.0	0	1	1
137.0	0	2	2
138.0	0	2	2
139.0	0	1	1
140.0	0	2	2
142.0	0	3	3
143.0	0	2	2
144.0	0	1	1
145.0	0	1	1
146.0	0	3	3
147.0	0	1	1
149.0	0	1	1
150.0	0	1	1
151.0	0	1	1
152.0	0	2	2
153.0	0	2	2
156.0	0	1	1
157.0	0	3	3
158.0	0	3	3
160.0	0	1	1
162.0	0	1	1
163.0	0	1	1
171.0	0	2	2
174.0	0	1	1
175.0	0	2	2
178.0	0	1	1
183.0	0	1	1
185.0	0	1	1
187.0	0	1	1
194.0	0	1	1
203.0	0	1	1
204.0	0	1	1
211.0	0	1	1
215.0	0	2	2
217.0	0	1	1
227.0	0	1	1
247.0	0	1	1
258.0	0	1	1
273.0	0	1	1

