## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/lustre/work/jyanglab/subhash/ex_pvp/alignment_trimmed/Wild_PI156549.srt.bam] OUTPUT=/lustre/work/jyanglab/subhash/ex_pvp/picard/dedup_trimmed/Wild_PI156549_picard_dedup.bam METRICS_FILE=/lustre/work/jyanglab/subhash/ex_pvp/picard/metrics_trimmed/Wild_PI156549_picard_metrics.txt REMOVE_DUPLICATES=true TMP_DIR=[/lustre/work/jyanglab/subhash/ex_pvp/picard/tmp] VALIDATION_STRINGENCY=SILENT CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_QUALITY_SUM_STRATEGY=false USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Nov 02 08:30:52 CST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	53074796	23692257	0	0	4520948	0	0.085181	293587534

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	41346130	41346130
2.0	1.834619	3980995	3980995
3.0	2.531207	238015	238015
4.0	3.112593	18520	18520
5.0	3.597829	1707	1707
6.0	4.002816	233	233
7.0	4.340826	37	37
8.0	4.622935	10	10
9.0	4.858388	6	6
10.0	5.054903	2	2
11.0	5.218917	0	0
12.0	5.355806	0	0
13.0	5.470057	1	1
14.0	5.565412	0	0
15.0	5.644998	0	0
16.0	5.711422	0	0
17.0	5.76686	0	0
18.0	5.81313	0	0
19.0	5.851748	0	0
20.0	5.883979	0	0
21.0	5.91088	0	0
22.0	5.933332	0	0
23.0	5.95207	0	0
24.0	5.96771	0	0
25.0	5.980763	0	0
26.0	5.991658	0	0
27.0	6.00075	0	0
28.0	6.008339	0	0
29.0	6.014673	0	0
30.0	6.019959	0	0
31.0	6.024372	0	0
32.0	6.028054	0	0
33.0	6.031127	0	0
34.0	6.033693	0	0
35.0	6.035833	0	0
36.0	6.03762	0	0
37.0	6.039112	0	0
38.0	6.040356	0	0
39.0	6.041395	0	0
40.0	6.042262	0	0
41.0	6.042986	0	0
42.0	6.04359	0	0
43.0	6.044094	0	0
44.0	6.044515	0	0
45.0	6.044866	0	0
46.0	6.045159	0	0
47.0	6.045403	0	0
48.0	6.045608	0	0
49.0	6.045778	0	0
50.0	6.04592	0	0
51.0	6.046039	0	0
52.0	6.046138	0	0
53.0	6.046221	0	0
54.0	6.04629	0	0
55.0	6.046347	0	0
56.0	6.046395	0	0
57.0	6.046435	0	0
58.0	6.046469	0	0
59.0	6.046497	0	0
60.0	6.04652	0	0
61.0	6.04654	0	0
62.0	6.046556	0	0
63.0	6.046569	0	0
64.0	6.046581	0	0
65.0	6.04659	0	0
66.0	6.046598	0	0
67.0	6.046605	0	0
68.0	6.04661	0	0
69.0	6.046615	0	0
70.0	6.046619	0	0
71.0	6.046622	0	0
72.0	6.046624	0	0
73.0	6.046627	0	0
74.0	6.046628	0	0
75.0	6.04663	0	0
76.0	6.046631	0	0
77.0	6.046632	0	0
78.0	6.046633	0	0
79.0	6.046634	0	0
80.0	6.046635	0	0
81.0	6.046635	0	0
82.0	6.046636	0	0
83.0	6.046636	0	0
84.0	6.046636	0	0
85.0	6.046637	0	0
86.0	6.046637	0	0
87.0	6.046637	0	0
88.0	6.046637	0	0
89.0	6.046637	0	0
90.0	6.046637	0	0
91.0	6.046637	0	0
92.0	6.046637	0	0
93.0	6.046638	0	0
94.0	6.046638	0	0
95.0	6.046638	0	0
96.0	6.046638	0	0
97.0	6.046638	0	0
98.0	6.046638	0	0
99.0	6.046638	0	0
100.0	6.046638	0	0

