SRR34291533	ExPVP_PI543243
SRR34291532	ExPVP_PI543247
SRR34291467	ExPVP_PI544069
SRR34291456	ExPVP_PI554646
SRR34291445	ExPVP_PI554647
SRR34291434	ExPVP_PI554648
SRR34291423	ExPVP_PI554649
SRR34291412	ExPVP_PI554650
SRR34291401	ExPVP_PI554652
SRR34291493	ExPVP_PI554654
SRR34291531	ExPVP_PI555457
SRR34291520	ExPVP_PI561926
SRR34291509	ExPVP_PI562621
SRR34291477	ExPVP_PI562622
SRR34291473	ExPVP_PI562623
SRR34291472	ExPVP_PI562624
SRR34291471	ExPVP_PI562625
SRR34291470	ExPVP_PI564085
SRR34291469	ExPVP_PI574398
SRR34291468	ExPVP_PI574406
SRR34291466	ExPVP_PI574407
SRR34291465	ExPVP_PI594354
SRR34291464	ExPVP_PI594355
SRR34291463	ExPVP_PI595221
SRR34291462	ExPVP_PI596332
SRR34291461	ExPVP_PI596567
SRR34291460	ExPVP_PI601264
SRR34291459	ExPVP_PI601415
SRR34291458	ExPVP_PI601552
SRR34291457	ExPVP_PI601553
SRR34291455	ExPVP_PI601554
SRR34291454	ExPVP_PI601555
SRR34291453	ExPVP_PI601556
SRR34291452	ExPVP_PI601557
SRR34291451	ExPVP_PI601716
SRR34291450	ExPVP_PI601717
SRR34291449	ExPVP_PI601718
SRR34291448	ExPVP_PI601719
SRR34291447	ExPVP_PI601720
SRR34291446	ExPVP_PI601721
SRR34291444	ExPVP_PI601743
SRR34291443	ExPVP_PI601744
SRR34291442	ExPVP_PI601756
SRR34291441	ExPVP_PI602599
SRR34291440	ExPVP_PI602600
SRR34291474	Wild_PI156549
